"stat_year","max_CFDD","min_NMDD"
1898,478.75,-7.7583333333333
1899,910.475,-515.925
1900,580.9875,-11.0875000000002
1901,557.454166666667,-44.2291666666664
1902,522.683333333334,-130.158333333333
1903,462.916666666667,10.1916666666667
1904,1013.42083333333,-600.020833333333
1905,788.466666666667,-341.983333333334
1906,406.521374521073,-25.7813745210728
1907,483.583333333333,-85.1000000000001
1908,378.65,-26.1083333333334
1909,395.358333333333,5.88333333333333
1910,611.504895833334,-157.513229166667
1911,415.233333333333,-12.9166666666669
1912,891.516666666666,-554.175
1913,491.458333333333,-17.9333333333334
1914,426.21268115942,15.75
1915,489.879166666667,13.7
1916,580.2,-96.1499999999999
1917,815.675,-390.166666666667
1918,817.983333333334,-529.983333333333
1919,242.733333333333,8.98333333333333
1920,854.7,-450.05
1921,226.3625,7.55
1922,464.275,-70.725
1923,639.525,-138.366666666667
1924,509.408333333333,-6.70000000000026
1925,574.375,-66.925
1926,586.341666666667,-337.675
1927,475.658333333333,-149.491666666667
1928,489.291666666667,-9.39999999999996
1929,635.933333333334,-162.758333333333
1930,549.783333333334,-156.825
1931,242.979166666667,8.8
1932,211.25,17.4416666666667
1933,358.208333333333,10.4250000000002
1934,525.908333333333,-185.616666666667
1935,451.9875,11.2416666666667
1936,756.425,-353.4
1937,433.166666666666,-81.0250000000001
1938,458.45,-98.85
1939,424.566666666667,12
1940,495.258333333333,8.19999999999979
1941,438.125,-4.88333333333342
1942,367.175,13.5916666666667
1943,728.425,-305.116666666667
1944,386.4,-32.4583333333334
1945,602.025,-152.983333333334
1946,492.825,-128.2
1947,501.9875,7.59166666666667
1948,724.783333333333,-195.05
1949,407.875,16.3916666666667
1950,508.958333333333,-46.775
1951,685.266666666667,-252.45
1952,495.741666666667,-183.558333333333
1953,337.291666666667,16.675
1954,319.916666666667,14.6583333333333
1955,447.758333333333,-7.25000000000024
1956,558.941666666667,-153.433333333333
1957,528.816666666667,-2.40833333333353
1958,449.433333333333,-81.2250000000001
1959,855.875,-346.3
1960,536.891666666667,-243.941666666667
1961,492.533333333333,-44.2999999999999
1962,724.791666666667,-269.125
1963,885.383333333334,-405.3
1964,517.591666666667,16.7583333333333
1965,701.491666666667,-255
1966,466.508333333333,-31.6333333333333
1967,559.308333333334,-177.966666666667
1968,517.933333333333,-170.608333333333
1969,520.616666666667,-71.7583333333331
1970,677.666666666667,-329.833333333333
1971,667.541666666666,-203.85
1972,624.316666666667,-89.5166666666667
1973,433.925,-106.825
1974,535.858333333333,-23.4916666666666
1975,418.433333333333,-20.5666666666667
1976,428.55,8.1
1977,877.541666666667,-624.925
1978,858.766666666667,-437.758333333334
1979,872.466666666667,-477.708333333333
1980,514.6625,-129.7625
1981,528.808333333334,-195.054166666666
1982,734.016666666667,-374.975
1983,236.125,16.0666666666667
1984,690.016666666667,-253.033333333333
1985,527.45,-83.116666666667
1986,658.808333333334,-254.891666666667
1987,244.75,12.6916666666667
1988,510.308333333333,-125.675
1989,509.566666666667,-159.058333333333
1990,471.05,-83.8083333333332
1991,393.925,12.275
1992,225.15,12.1833333333333
1993,429.633333333333,-75.2916666666668
1994,682.8,-293.216666666667
1995,331.595833333333,12.075
1996,655.1,-301.2
1997,468.76,-121.339166666667
1998,158.25,8.05
1999,389.45,9.575
2000,388.783333333333,10.325
2001,568.541666666667,-109.229166666667
2002,201.0125,15.6083333333333
2003,607.016666666667,-284.441666666667
2004,426.604166666667,-19.8375
2005,445.7625,14.9833333333333
2006,293.504166666667,17.4083333333333
2007,395.640272865637,12.2166666666667
2008,558.866666666667,-48.2250000000005
2009,666.838577666295,-254.738577666295
2010,393.372639603254,8.0009324009324
2011,501.261645013334,-0.572697519447534
2012,122.316666666667,7.775
2013,394.8,11.4666666666667
2014,971.275,-542.1
2015,654.975,-289.983333333334
2016,253.383333333333,10.8916666666667
2017,244.433333333333,16.4333333333333
2018,451.475416666667,13.6166666666667
2019,485.203333333333,-146.238333333333
2020,182.17,20.3666666666667
2021,332.896666666667,9.58333333333333
2022,396.891666666667,18.8583333333333
2023,147.798333333333,13.3666666666667
